part_number,pipeSize,product_name,material,valve_size,pressureClass,pressure_rating,test_pressure,pressure_unit,bore_type,bore_size,end_connection,rtj_groove,groove_cladding,body_material,type,design_standard,gate_seat_material_and_coating,stem_material,standard_stud_nut_material,custom_stud_nut_material,operation,face_to_face,function,shape,seat_sealing,stem_packing,bonnet_seal_ring,stem_type,material_class,temperature_class,psl,psl_3g,pr,service,standard_painting_system,custom_painting,country_of_origin,application,weight,weight_unit,description,price_usd,pack_qty,lead_days,in_stock,inventory_available,inventory_on_hold,inventory_sold
1407M1,"3/8""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,1,0,yes,0,0,0
1407M2,"3/8""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.80,1,0,yes,0,0,0
1407M3,"3/8""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.55,1,0,yes,0,0,0
1407M4,"3/8""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.25,1,0,yes,0,0,0
1407M5,"3/8""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.90,1,0,yes,0,0,0
1407M6,"3/8""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.20,1,0,yes,0,0,0
1407M7,"1/2""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.50,1,0,yes,0,0,0
1407M8,"1/2""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.10,1,0,yes,0,0,0
1407M9,"1/2""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.20,1,0,yes,0,0,0
1407M10,"1/2""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75,1,0,yes,0,0,0
1407M11,"1/2""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.85,1,0,yes,0,0,0
1407M12,"1/2""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.10,1,0,yes,0,0,0
1407M13,"3/4""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.55,1,0,yes,0,0,0
1407M14,"3/4""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.65,1,0,no,0,0,0
1407M15,"3/4""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.80,1,0,yes,0,0,0
1407M16,"3/4""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.10,1,0,yes,0,0,0
1407M17,"3/4""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.55,1,0,yes,0,0,0
1407M18,"3/4""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.70,1,0,yes,0,0,0
1407M19,"1""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.60,1,0,yes,0,0,0
1407M20,"1""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.85,1,0,yes,0,0,0
1407M21,"1""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.60,1,0,yes,0,0,0
1407M22,"1""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05,1,0,no,0,0,0
1407M23,"1""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.20,1,0,yes,0,0,0
1407M24,"1""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.75,1,0,yes,0,0,0
1407M25,"1 1/4""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.05,1,0,yes,0,0,0
1407M26,"1 1/4""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.90,1,0,yes,0,0,0
1407M27,"1 1/4""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.70,1,0,yes,0,0,0
1407M28,"1 1/4""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.85,1,0,yes,0,0,0
1407M29,"1 1/4""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05,1,0,yes,0,0,0
1407M30,"1 1/4""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.40,1,0,yes,0,0,0
1407M31,"1 1/2""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.95,1,0,yes,0,0,0
1407M32,"1 1/2""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,1,0,yes,0,0,0
1407M33,"1 1/2""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.80,1,0,no,0,0,0
1407M34,"1 1/2""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.95,1,0,yes,0,0,0
1407M35,"1 1/2""",,316 Stainless Steel,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.40,1,0,yes,0,0,0
1407M36,"1 1/2""",,316 Stainless Steel,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.05,1,0,yes,0,0,0
1407M37,"2""",,Bronze,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.80,1,0,yes,0,0,0
1407M38,"2""",,Bronze,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.75,1,0,yes,0,0,0
1407M39,"2""",,Cast Iron,,150 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.10,1,0,yes,0,0,0
1407M40,"2""",,Cast Iron,,300 psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.70,1,0,yes,0,0,0
